hitza	agerpen kopurua	maiztasuna milioi testu-hitzeko	silaba kopurua	auzokide kopurua
mozketa	63	2.77	3	5
muinoan	63	2.77	4	6
mukizu	63	2.77	3	4
nehondik	63	2.77	3	1
nerabeen	63	2.77	4	6
niolarik	63	2.77	4	4
nonbaitera	63	2.77	4	1
obraz	63	2.77	2	5
ogibidea	63	2.77	5	7
ohantze	63	2.77	3	4
oholtzan	63	2.77	3	3
oihuek	63	2.77	3	5
oihurik	63	2.77	3	1
oinetakoen	63	2.77	5	5
ondorioek	63	2.77	5	7
oporren	63	2.77	3	5
oreneko	63	2.77	4	8
ospatzera	63	2.77	4	5
ospetsuena	63	2.77	5	2
out	63	2.77	2	0
ozka	63	2.77	2	6
paragrafo	63	2.77	4	2
partitura	63	2.77	4	6
pasatutako	63	2.77	5	7
patuari	63	2.77	4	7
perfektuak	63	2.77	4	5
pertsianak	63	2.77	4	5
pikor	63	2.77	2	6
pilotuak	63	2.77	4	9
pizza	63	2.77	2	7
poliziala	63	2.77	5	4
postaria	63	2.77	4	7
prentsari	63	2.77	3	2
printzesak	63	2.77	3	4
saiakerak	63	2.77	4	6
sailek	63	2.77	2	14
sakramendu	63	2.77	4	2
senargai	63	2.77	3	1
sendoen	63	2.77	3	7
sexuaz	63	2.77	3	6
sineskeria	63	2.77	5	5
sinonimo	63	2.77	4	2
sosegu	63	2.77	3	3
sozietatea	63	2.77	6	4
suizidak	63	2.77	4	4
talibanak	63	2.77	4	4
tamainakoa	63	2.77	5	5
torneoak	63	2.77	4	4
trasteak	63	2.77	3	3
txabusina	63	2.77	4	3
txeke	63	2.77	2	6
ukoa	63	2.77	3	13
urdineko	63	2.77	4	6
western	63	2.77	2	1
zailagoak	63	2.77	4	2
zaintzako	63	2.77	3	4
zaizkidak	63	2.77	3	2
zantzua	63	2.77	3	9
zentzatu	63	2.77	3	5
zentzuen	63	2.77	3	13
zetozenak	63	2.77	4	2
ziharduela	63	2.77	5	4
zirkua	63	2.77	3	9
zizkiona	63	2.77	4	10
zorriak	63	2.77	3	13
abendura	62	2.73	4	2
agenteek	62	2.73	4	5
agerturik	62	2.73	4	5
agorril	62	2.73	3	2
ahaideek	62	2.73	4	7
ahaleginen	62	2.73	5	5
ahalkea	62	2.73	4	7
ainitzekin	62	2.73	4	3
ainitzetan	62	2.73	4	2
aittitte	62	2.73	3	2
alargundu	62	2.73	4	2
aldra	62	2.73	2	12
aldrebesa	62	2.73	4	4
alpeetako	62	2.73	5	2
altuko	62	2.73	3	5
amarik	62	2.73	3	11
apalduz	62	2.73	3	7
arazia	62	2.73	4	10
ardiesten	62	2.73	4	5
arduragabe	62	2.73	5	3
arituz	62	2.73	3	10
armadura	62	2.73	4	8
armekin	62	2.73	3	9
arotza	62	2.73	3	8
artizarra	62	2.73	4	1
asaldatua	62	2.73	5	6
atzokoak	62	2.73	4	6
autorearen	62	2.73	5	5
auzipetua	62	2.73	5	5
azalduta	62	2.73	4	3
azterketek	62	2.73	4	5
badigu	62	2.73	3	8
bailarako	62	2.73	4	6
baleta	62	2.73	3	13
barrutia	62	2.73	4	7
beldurrari	62	2.73	4	0
berexiak	62	2.73	4	6
berrituz	62	2.73	3	8
bestaldian	62	2.73	4	1
bidaide	62	2.73	3	1
bidalita	62	2.73	4	1
biktimarik	62	2.73	4	1
bilatzaile	62	2.73	4	5
bono	62	2.73	2	13
bortxatuak	62	2.73	4	2
bozaren	62	2.73	3	8
campuseko	62	2.73	4	2
dagokit	62	2.73	3	5
deitzera	62	2.73	3	5
depresioak	62	2.73	5	4
deputatuek	62	2.73	5	5
deritzote	62	2.73	4	4
dimititu	62	2.73	4	0
dioguna	62	2.73	4	8
disimulatu	62	2.73	5	3
dizkizun	62	2.73	3	10
doakion	62	2.73	4	7
dohakabeak	62	2.73	5	7
doietarik	62	2.73	4	4
ebasten	62	2.73	3	6
ebidentzia	62	2.73	5	3
edanak	62	2.73	3	9
editorea	62	2.73	5	4
egokituta	62	2.73	5	2
eguraldiaz	62	2.73	5	3
ekoizleek	62	2.73	4	6
entzuleei	62	2.73	4	4
erakustoki	62	2.73	5	1
erauntsiak	62	2.73	4	8
erotzen	62	2.73	3	11
erredura	62	2.73	4	7
erregeri	62	2.73	4	4
erromesak	62	2.73	4	4
erronkei	62	2.73	3	3
eskasaren	62	2.73	4	4
etnikoa	62	2.73	4	9
euritan	62	2.73	3	8
euroliga	62	2.73	4	1
ezagupena	62	2.73	5	6
ezagutzari	62	2.73	5	5
ezkorrak	62	2.73	3	8
fikzioaren	62	2.73	5	1
finca	62	2.73	2	2
fisikan	62	2.73	3	5
formalki	62	2.73	3	4
futxo	62	2.73	2	2
gailuak	62	2.73	3	10
galan	62	2.73	2	21
ganbaratik	62	2.73	4	2
garbiagoa	62	2.73	5	6
gaztetxeen	62	2.73	4	7
genikek	62	2.73	3	3
gogaituta	62	2.73	4	1
greziarra	62	2.73	4	1
guardak	62	2.73	3	7
guneen	62	2.73	3	9
hanbatenaz	62	2.73	4	1
handikien	62	2.73	4	8
haragiak	62	2.73	4	4
harrituak	62	2.73	4	8
hedaturik	62	2.73	4	2
hilkorra	62	2.73	3	3
hiruek	62	2.73	3	9
hizketaren	62	2.73	4	4
holakoa	62	2.73	4	10
idazleren	62	2.73	4	3
igerilari	62	2.73	5	3
igoal	62	2.73	3	4
ikasleari	62	2.73	5	3
ikastegiko	62	2.73	5	2
ikusmiran	62	2.73	4	3
indartuta	62	2.73	4	1
inflazioak	62	2.73	5	3
inperioan	62	2.73	5	4
ipotxak	62	2.73	3	3
iraganera	62	2.73	5	2
irrisku	62	2.73	3	5
istiluen	62	2.73	4	10
izarrei	62	2.73	3	10
izpien	62	2.73	3	8
jaits	62	2.73	1	3
jakinmina	62	2.73	4	2
jokaerak	62	2.73	4	6
juntatzen	62	2.73	3	5
kaltetzen	62	2.73	3	2
kantziler	62	2.73	3	1
karratuak	62	2.73	4	7
karrikaz	62	2.73	3	4
kateatzen	62	2.73	4	5
kendurik	62	2.73	3	6
koinata	62	2.73	3	5
kokatuz	62	2.73	3	7
koloniak	62	2.73	4	9
koordinatu	62	2.73	5	3
koskorra	62	2.73	3	6
kostaldera	62	2.73	4	2
kualitate	62	2.73	5	5
kutxatila	62	2.73	4	3
kuzkurtuta	62	2.73	4	4
laburraren	62	2.73	4	3
larrazken	62	2.73	3	1
legegile	62	2.73	4	1
lehertuta	62	2.73	4	2
leinuak	62	2.73	3	11
liburuez	62	2.73	4	6
likits	62	2.73	2	2
lurretara	62	2.73	4	5
maisuen	62	2.73	3	9
mamitsuak	62	2.73	4	5
mela	62	2.73	2	16
metaforak	62	2.73	4	5
militarrei	62	2.73	4	4
mintegiak	62	2.73	4	4
musukatzen	62	2.73	4	3
nahastua	62	2.73	4	8
narrasti	62	2.73	3	7
negozioan	62	2.73	5	5
ñapurrak	62	2.73	3	5
ohorezki	62	2.73	4	1
oiloa	62	2.73	3	12
olibondo	62	2.73	4	2
omenaldiak	62	2.73	5	4
ordenarik	62	2.73	4	4
orgasmo	62	2.73	3	2
osokoa	62	2.73	4	9
otsoen	62	2.73	3	7
ozono	62	2.73	3	1
paisaje	62	2.73	3	4
patrika	62	2.73	3	4
periferiak	62	2.73	5	5
pertz	62	2.73	1	4
plantatua	62	2.73	4	7
pobretxo	62	2.73	3	2
populuaren	62	2.73	5	2
postala	62	2.73	3	5
pozezko	62	2.73	3	2
premien	62	2.73	3	5
presioen	62	2.73	4	8
presunek	62	2.73	3	5
programatu	62	2.73	4	2
publikatu	62	2.73	4	2
puntutik	62	2.73	3	4
putakumea	62	2.73	5	4
sahararren	62	2.73	4	4
sakonetan	62	2.73	4	4
sardexka	62	2.73	3	5
sargori	62	2.73	3	2
saridunak	62	2.73	4	4
sekretuan	62	2.73	4	7
seminario	62	2.73	5	2
senatariak	62	2.73	5	3
sokari	62	2.73	3	15
soprano	62	2.73	3	1
sozialei	62	2.73	4	5
subjektibo	62	2.73	4	2
sudurrak	62	2.73	3	4
talaiatik	62	2.73	4	2
teila	62	2.73	2	8
trenetan	62	2.73	3	4
tutua	62	2.73	3	13
txalet	62	2.73	2	2
txalupak	62	2.73	3	5
txarrek	62	2.73	2	8
ukazioa	62	2.73	5	5
ukondoak	62	2.73	4	4
ulertzerik	62	2.73	4	1
urterat	62	2.73	3	5
xerri	62	2.73	2	9
xitoak	62	2.73	3	11
zabalez	62	2.73	3	7
zaigulako	62	2.73	4	2
zaina	62	2.73	2	21
zaletu	62	2.73	3	3
zaudeten	62	2.73	3	3
zenuenean	62	2.73	5	6
zergarik	62	2.73	3	5
zingira	62	2.73	3	4
zitara	62	2.73	3	7
zorabioak	62	2.73	5	3
zoriaren	62	2.73	4	14
abarretan	61	2.68	4	13
abestuz	61	2.68	3	7
adarrik	61	2.68	3	8
agondu	61	2.68	3	6
ahalbide	61	2.68	4	2
ahanztura	61	2.68	4	5
ahultasun	61	2.68	4	3
ahuspeztu	61	2.68	4	1
aiatola	61	2.68	4	3
akulatzen	61	2.68	4	4
alferrak	61	2.68	3	6
ametsezko	61	2.68	4	2
andreen	61	2.68	3	7
apaltzeko	61	2.68	4	6
apurren	61	2.68	3	13
arartekoa	61	2.68	5	10
arauei	61	2.68	3	7
arautzea	61	2.68	4	8
arbasoei	61	2.68	4	4
argituta	61	2.68	4	3
arrenka	61	2.68	3	6
artikuluen	61	2.68	5	6
askaturik	61	2.68	4	5
asmaturiko	61	2.68	5	4
astiroago	61	2.68	5	1
astronauta	61	2.68	4	1
autorea	61	2.68	4	9
axolagabea	61	2.68	6	6
axolatu	61	2.68	4	3
azaltzera	61	2.68	4	5
aztertua	61	2.68	4	7
badagoen	61	2.68	4	2
badigute	61	2.68	4	3
bagoiak	61	2.68	3	7
bahiturik	61	2.68	4	6
baitituzu	61	2.68	4	3
bakeaz	61	2.68	3	11
behatzeko	61	2.68	4	10
belarritik	61	2.68	4	3
beribil	61	2.68	3	3
bertzek	61	2.68	2	11
bey	61	2.68	2	2
bidegabeko	61	2.68	5	3
bihirik	61	2.68	3	8
birjinak	61	2.68	3	5
bizioa	61	2.68	4	13
bizitoki	61	2.68	4	2
boston	61	2.68	2	3
collage	61	2.68	3	2
debate	61	2.68	3	1
dejada	61	2.68	3	2
derradan	61	2.68	3	1
desertu	61	2.68	3	6
didatenez	61	2.68	4	4
diegula	61	2.68	4	6
diozuen	61	2.68	4	8
diputazioa	61	2.68	6	5
doakionez	61	2.68	5	3
ebazteko	61	2.68	4	5
ederrenean	61	2.68	5	4
egoitzari	61	2.68	4	2
egokienean	61	2.68	6	4
elkargoan	61	2.68	4	4
emaztekiak	61	2.68	5	4
emearen	61	2.68	4	10
enbaxadan	61	2.68	4	3
erdialdea	61	2.68	5	5
erotiko	61	2.68	4	8
erreginari	61	2.68	5	4
errenditu	61	2.68	4	3
erretira	61	2.68	4	9
erriberan	61	2.68	4	4
erromesen	61	2.68	4	3
eskaerarik	61	2.68	5	5
eskubidez	61	2.68	4	6
eskuila	61	2.68	4	4
estualdi	61	2.68	4	3
eterdi	61	2.68	3	3
ezkuturen	61	2.68	4	2
filosofiaz	61	2.68	5	4
finkatuz	61	2.68	3	4
frogaturik	61	2.68	4	1
galarazita	61	2.68	5	1
galdeginen	61	2.68	4	4
galdeginez	61	2.68	4	4
ganadua	61	2.68	4	5
ganbararen	61	2.68	4	2
garaitzen	61	2.68	3	10
garestiena	61	2.68	5	3
gerenteak	61	2.68	4	3
ginenok	61	2.68	3	5
gosaltzera	61	2.68	4	1
gurutzeko	61	2.68	4	6
gutixago	61	2.68	4	3
haizeen	61	2.68	3	5
handikiak	61	2.68	4	9
handituta	61	2.68	4	2
hauez	61	2.68	2	11
hautuak	61	2.68	3	15
hipaka	61	2.68	3	3
hitzartuta	61	2.68	4	1
hobena	61	2.68	3	8
hoberen	61	2.68	3	7
hormetako	61	2.68	4	4
idazlana	61	2.68	4	4
idazleei	61	2.68	4	6
ikuskariak	61	2.68	5	6
ikusteke	61	2.68	4	1
indarrekin	61	2.68	4	1
indioen	61	2.68	4	5
inflexio	61	2.68	4	1
inozentzia	61	2.68	5	4
inurri	61	2.68	3	6
irudipenak	61	2.68	5	5
isiltzea	61	2.68	4	10
islamiko	61	2.68	4	3
itzalia	61	2.68	4	12
izterren	61	2.68	3	5
izutzeko	61	2.68	4	6
jaioberria	61	2.68	5	4
jarraituta	61	2.68	4	1
jasatea	61	2.68	4	7
jatetxera	61	2.68	4	3
jeltzaleen	61	2.68	4	3
jolaserako	61	2.68	5	2
kafeak	61	2.68	3	8
kandelaren	61	2.68	4	3
katuari	61	2.68	4	10
kilika	61	2.68	3	14
kilimak	61	2.68	3	6
klinikan	61	2.68	3	4
koherente	61	2.68	4	2
koinatua	61	2.68	4	5
kolonoek	61	2.68	4	7
korda	61	2.68	2	11
korrontea	61	2.68	4	6
kritikoek	61	2.68	4	7
laboristen	61	2.68	4	3
lapurtzea	61	2.68	4	9
laurek	61	2.68	2	6
legokeen	61	2.68	4	3
lehorte	61	2.68	3	4
leihoen	61	2.68	3	5
lohia	61	2.68	3	13
loriatu	61	2.68	4	4
maiteen	61	2.68	3	6
maiztasuna	61	2.68	4	4
malariaren	61	2.68	5	0
mendietara	61	2.68	5	4
metaliko	61	2.68	4	5
mexikar	61	2.68	3	1
mikrofono	61	2.68	4	2
museko	61	2.68	3	8
muturraren	61	2.68	4	1
nazaten	61	2.68	3	2
obligazioa	61	2.68	6	5
ohituraz	61	2.68	4	5
ohiturei	61	2.68	4	4
ondasuna	61	2.68	4	4
operan	61	2.68	3	4
orenetako	61	2.68	5	8
oroitzea	61	2.68	4	9
osaera	61	2.68	4	6
pashak	61	2.68	2	6
patologia	61	2.68	5	5
platerkada	61	2.68	4	1
polizaren	61	2.68	4	4
pribatuko	61	2.68	4	4
proiektuko	61	2.68	4	3
saldua	61	2.68	3	10
segurutik	61	2.68	4	3
sendiak	61	2.68	3	8
sendotuko	61	2.68	4	3
soildu	61	2.68	2	4
solairutik	61	2.68	4	0
solo	61	2.68	2	10
tabakoak	61	2.68	4	3
talderekin	61	2.68	4	4
taldetxo	61	2.68	3	3
taloak	61	2.68	3	10
tapiz	61	2.68	2	6
tonako	61	2.68	3	13
tornu	61	2.68	2	4
tratatzea	61	2.68	4	10
triku	61	2.68	2	6
tumore	61	2.68	3	5
turkiarren	61	2.68	4	5
ubidearen	61	2.68	5	2
ugaritasun	61	2.68	5	1
uhinek	61	2.68	3	8
ukaldika	61	2.68	4	2
ukuilu	61	2.68	4	3
umiliatu	61	2.68	5	2
urratsek	61	2.68	3	8
usaineko	61	2.68	4	4
xalotasuna	61	2.68	5	3
zainduak	61	2.68	3	7
zangoen	61	2.68	3	9
zapalduta	61	2.68	4	4
zaparradak	61	2.68	4	6
zenbatek	61	2.68	3	7
zentrotik	61	2.68	3	2
zenutela	61	2.68	4	2
zerbitzuei	61	2.68	4	4
zeruetan	61	2.68	4	4
zidalarik	61	2.68	4	2
zigorrez	61	2.68	3	5
zizelkatu	61	2.68	4	4
zonalde	61	2.68	3	1
zorroak	61	2.68	3	11
zulatzeko	61	2.68	4	3
zurgin	61	2.68	2	1
aberatsago	60	2.64	5	1
aditzaren	60	2.64	4	4
agerrarazi	60	2.64	5	4
aginpide	60	2.64	4	2
ahaideen	60	2.64	4	7
aiztoa	60	2.64	3	7
akidura	60	2.64	4	4
akordura	60	2.64	4	2
amildegian	60	2.64	5	4
arabiarra	60	2.64	5	3
arerioa	60	2.64	5	3
arerioak	60	2.64	5	3
askatuak	60	2.64	4	8
atipikoa	60	2.64	5	5
atseginago	60	2.64	5	1
aurkitzeak	60	2.64	4	4
auziagatik	60	2.64	5	1
axioma	60	2.64	4	3
babestera	60	2.64	4	7
baimenaren	60	2.64	4	0
baitzigun	60	2.64	3	1
bakoitx	60	2.64	2	4
banakoaren	60	2.64	5	3
basotik	60	2.64	3	5
batailoi	60	2.64	3	3
batari	60	2.64	3	12
bazenuen	60	2.64	4	3
belarrez	60	2.64	3	9
berberaren	60	2.64	4	5
berdintze	60	2.64	3	4
bertsutan	60	2.64	3	6
bietara	60	2.64	4	8
bilguneak	60	2.64	4	4
biri	60	2.64	2	19
bizibide	60	2.64	4	4
biziduna	60	2.64	4	4
bularretik	60	2.64	4	2
bururat	60	2.64	3	2
cowboy	60	2.64	3	0
dakarten	60	2.64	3	4
danborra	60	2.64	3	3
derbiak	60	2.64	3	5
didaktikoa	60	2.64	5	6
diezaiegun	60	2.64	5	2
eginbideak	60	2.64	5	5
egonkortu	60	2.64	4	3
eguberriak	60	2.64	5	5
elia	60	2.64	3	16
erdaldunak	60	2.64	4	3
eritegian	60	2.64	5	4
errebelde	60	2.64	4	1
erromeriak	60	2.64	5	6
esatariak	60	2.64	5	4
eskaeren	60	2.64	4	10
esklaboen	60	2.64	4	6
esmeralda	60	2.64	4	3
estuetan	60	2.64	4	4
eszenaren	60	2.64	4	0
euskaratua	60	2.64	5	4
fardela	60	2.64	3	5
ferian	60	2.64	3	10
feudoak	60	2.64	3	3
fonetiko	60	2.64	4	4
fonetikoa	60	2.64	5	8
galaxia	60	2.64	4	5
garretan	60	2.64	3	10
gasolioa	60	2.64	5	7
gateak	60	2.64	3	17
gaztetxoa	60	2.64	4	6
gema	60	2.64	2	10
geurean	60	2.64	3	9
gizakirik	60	2.64	4	5
gizentzen	60	2.64	3	3
gogortzeko	60	2.64	4	2
goizaldera	60	2.64	4	3
goretsiz	60	2.64	3	2
gotortu	60	2.64	3	3
grebarekin	60	2.64	4	0
grekoen	60	2.64	3	6
gunetik	60	2.64	3	6
gurearen	60	2.64	4	10
guretako	60	2.64	4	12
guztiengan	60	2.64	4	3
habian	60	2.64	3	12
hargin	60	2.64	2	4
hebreeraz	60	2.64	4	3
hesian	60	2.64	3	10
hildakoek	60	2.64	4	4
hilketan	60	2.64	3	9
hiribidean	60	2.64	5	2
hirukoteak	60	2.64	5	3
hoska	60	2.64	2	9
hotzetik	60	2.64	3	10
hoztasuna	60	2.64	4	5
hutsaz	60	2.64	2	8
idealismo	60	2.64	5	1
igoa	60	2.64	3	11
iguzkia	60	2.64	4	7
ilerik	60	2.64	3	3
ilobaren	60	2.64	4	3
iragarle	60	2.64	4	2
iragarriz	60	2.64	4	6
irakurriak	60	2.64	5	3
isiotu	60	2.64	4	3
itxuratu	60	2.64	4	3
izadian	60	2.64	4	6
izugarrian	60	2.64	5	7
izutua	60	2.64	4	10
jangelako	60	2.64	4	2
jausiko	60	2.64	3	4
jendetsuak	60	2.64	4	4
jolasetan	60	2.64	4	3
jostatu	60	2.64	3	6
kanporako	60	2.64	4	3
kasuko	60	2.64	3	5
kategorian	60	2.64	5	4
kideetako	60	2.64	5	4
kirolarien	60	2.64	5	6
klonazio	60	2.64	4	1
koadrilako	60	2.64	5	4
kolonoak	60	2.64	4	6
kontrakoek	60	2.64	4	4
kortesia	60	2.64	4	3
kostuen	60	2.64	3	9
kukuso	60	2.64	3	3
kurioski	60	2.64	4	2
kutsadurak	60	2.64	4	4
labar	60	2.64	2	15
lastaira	60	2.64	3	4
latzagoa	60	2.64	4	4
lebitarren	60	2.64	4	4
lehorretik	60	2.64	4	3
letraz	60	2.64	2	6
loaldi	60	2.64	3	4
lorategiak	60	2.64	5	5
makilaren	60	2.64	4	6
makineria	60	2.64	5	4
mandoak	60	2.64	3	10
mantu	60	2.64	2	17
maryk	60	2.64	2	3
mehatxuen	60	2.64	4	7
ments	60	2.64	1	4
merkatutik	60	2.64	4	1
mihian	60	2.64	3	9
minarekin	60	2.64	4	8
nagusitzea	60	2.64	5	8
neskatoari	60	2.64	5	4
nizkiola	60	2.64	4	5
ondutako	60	2.64	4	2
oparien	60	2.64	4	7
oporretako	60	2.64	5	2
ostikoz	60	2.64	3	4
otsailetik	60	2.64	4	0
parrokia	60	2.64	4	8
pedalei	60	2.64	3	4
pianoan	60	2.64	4	4
propiorik	60	2.64	4	1
proposatuz	60	2.64	4	3
puntuetan	60	2.64	4	6
putetxe	60	2.64	3	1
sakonen	60	2.64	3	5
saratar	60	2.64	3	1
sinesgogor	60	2.64	4	0
sopranoa	60	2.64	4	2
sorbalden	60	2.64	3	4
sormenaren	60	2.64	4	0
sortzera	60	2.64	3	6
tatuajea	60	2.64	5	4
teknikoen	60	2.64	4	7
tenorez	60	2.64	3	4
tigrea	60	2.64	3	5
tiralari	60	2.64	4	3
topaguneak	60	2.64	5	3
topikoa	60	2.64	4	14
trenbideak	60	2.64	4	5
tresnatzat	60	2.64	3	1
trio	60	2.64	2	6
tsunami	60	2.64	3	1
txarrera	60	2.64	3	3
txilintxo	60	2.64	3	2
umetxo	60	2.64	3	6
unearen	60	2.64	4	6
urakanak	60	2.64	4	3
usaimen	60	2.64	3	3
usuago	60	2.64	4	1
zaitezela	60	2.64	4	4
zamatu	60	2.64	3	7
zangoko	60	2.64	3	2
zapalduz	60	2.64	3	6
zatekeela	60	2.64	5	4
zatitua	60	2.64	4	7
zehaztapen	60	2.64	4	1
zeken	60	2.64	2	10
zelatatu	60	2.64	4	2
zenbakiek	60	2.64	4	6
zenidake	60	2.64	4	0
zentroen	60	2.64	3	7
zerratua	60	2.64	4	15
zerrenden	60	2.64	3	4
zozoak	60	2.64	3	8
zuhaixka	60	2.64	3	4
zuriarekin	60	2.64	5	11
zutenekoa	60	2.64	5	7
zutiturik	60	2.64	4	7
agintera	59	2.6	4	3
ahapaldi	59	2.6	4	2
ahurrak	59	2.6	3	9
aingeruek	59	2.6	4	5
aldarera	59	2.6	4	5
amaiaren	59	2.6	4	4
anaitasun	59	2.6	4	2
anda	59	2.6	2	17
antzerkira	59	2.6	4	2
apartatzen	59	2.6	4	7
arintasun	59	2.6	4	1
arreben	59	2.6	3	8
atarietan	59	2.6	5	3
atoan	59	2.6	3	13
aurreratuz	59	2.6	4	5
badelako	59	2.6	4	2
bagaituzte	59	2.6	4	2
bahiketak	59	2.6	4	5
baitoa	59	2.6	3	4
baja	59	2.6	2	21
bakailao	59	2.6	4	3
bakoitxa	59	2.6	3	5
baldintzek	59	2.6	3	5
bazien	59	2.6	3	16
belarren	59	2.6	3	9
berpiztea	59	2.6	4	11
berriturik	59	2.6	4	4
bestearena	59	2.6	5	6
betierean	59	2.6	5	3
bezalakoxe	59	2.6	5	1
beztitu	59	2.6	3	3
bidaliak	59	2.6	4	3
bikainaren	59	2.6	4	1
billetea	59	2.6	4	4
bistatu	59	2.6	3	5
bizitzeak	59	2.6	4	6
blokeo	59	2.6	3	8
borraste	59	2.6	3	1
bosna	59	2.6	2	3
burukide	59	2.6	4	4
burusi	59	2.6	3	5
burusoila	59	2.6	4	2
dasta	59	2.6	2	13
datorkizu	59	2.6	4	5
deabruzko	59	2.6	4	1
deliberoa	59	2.6	5	6
dendetako	59	2.6	4	4
derrigortu	59	2.6	4	2
desmasia	59	2.6	4	4
dibortzio	59	2.6	4	2
dietenak	59	2.6	4	5
dilema	59	2.6	3	2
dioenaren	59	2.6	5	6
dituenen	59	2.6	4	8
dituzuela	59	2.6	5	5
doalako	59	2.6	4	7
dolarrean	59	2.6	4	5
dudanaren	59	2.6	4	3
duro	59	2.6	2	7
dutenari	59	2.6	4	3
edontzia	59	2.6	4	5
eguzkitsu	59	2.6	4	2
ekintzekin	59	2.6	4	1
ekonomista	59	2.6	5	1
enkante	59	2.6	3	2
enparauek	59	2.6	4	4
erakarrita	59	2.6	5	1
erasotzera	59	2.6	5	1
ereiteko	59	2.6	4	2
eritu	59	2.6	3	8
erlisione	59	2.6	5	4
errai	59	2.6	2	16
erregelan	59	2.6	4	7
eskaleak	59	2.6	4	7
espainolen	59	2.6	4	7
esparruko	59	2.6	4	3
estresa	59	2.6	3	5
eurokopako	59	2.6	5	1
europarrek	59	2.6	4	8
ezagutzan	59	2.6	4	6
facto	59	2.6	2	1
fedean	59	2.6	3	6
finka	59	2.6	2	18
fitxatzea	59	2.6	4	6
funtsez	59	2.6	2	4
gaitzaten	59	2.6	3	3
garajean	59	2.6	4	7
gasnaren	59	2.6	3	3
gatibuak	59	2.6	4	3
gehiegitan	59	2.6	5	1
geneen	59	2.6	3	10
gertukoa	59	2.6	4	3
geza	59	2.6	2	15
gogokoena	59	2.6	5	3
gogorrez	59	2.6	3	5
goraintzi	59	2.6	3	1
gostua	59	2.6	3	14
grabatuta	59	2.6	4	3
grisaren	59	2.6	3	6
guregatik	59	2.6	4	4
haraindi	59	2.6	3	1
harrabots	59	2.6	3	2
hartutakoa	59	2.6	5	5
hegaztiei	59	2.6	4	5
hiriaz	59	2.6	3	12
hizpidea	59	2.6	4	5
hobeago	59	2.6	4	3
horiena	59	2.6	4	6
hunkia	59	2.6	3	5
ideiekin	59	2.6	4	4
igartzeko	59	2.6	4	7
igeltsero	59	2.6	4	1
iguriki	59	2.6	4	4
ilargira	59	2.6	4	2
irakaslek	59	2.6	4	8
iritzien	59	2.6	4	5
irteerak	59	2.6	4	4
izigarriak	59	2.6	5	6
izterra	59	2.6	3	2
janariaren	59	2.6	5	2
janek	59	2.6	2	16
janik	59	2.6	2	16
jantzietan	59	2.6	4	3
jaurtiko	59	2.6	3	2
kadeteak	59	2.6	4	6
klimaren	59	2.6	3	4
klubari	59	2.6	3	1
koktelak	59	2.6	3	3
komunen	59	2.6	3	6
kondesa	59	2.6	3	5
koruak	59	2.6	3	15
kostatuko	59	2.6	4	5
laidoa	59	2.6	3	10
lakar	59	2.6	2	17
lehenari	59	2.6	4	2
lehoien	59	2.6	3	6
lerroz	59	2.6	2	6
lidergoari	59	2.6	5	0
lituzketen	59	2.6	4	5
lixiba	59	2.6	3	3
lukainka	59	2.6	3	3
luzanga	59	2.6	3	3
margotua	59	2.6	4	7
markatuz	59	2.6	3	7
markesari	59	2.6	4	0
matraka	59	2.6	3	5
medioz	59	2.6	3	3
metalikoa	59	2.6	5	6
miresteko	59	2.6	4	2
momentutik	59	2.6	4	3
multimedia	59	2.6	5	2
musurik	59	2.6	3	4
narratiba	59	2.6	4	5
noblezia	59	2.6	4	5
nongoak	59	2.6	3	5
ogasunak	59	2.6	4	3
okerturik	59	2.6	4	3
olo	59	2.6	2	10
onarturik	59	2.6	4	3
ordenatua	59	2.6	5	7
orea	59	2.6	3	24
orrazkera	59	2.6	4	5
panderoa	59	2.6	4	7
parroki	59	2.6	3	5
penagarri	59	2.6	4	2
petuniak	59	2.6	4	2
piura	59	2.6	3	7
potroak	59	2.6	3	7
primitibo	59	2.6	4	1
pultsua	59	2.6	3	6
salgaien	59	2.6	3	4
saman	59	2.6	2	17
sarituko	59	2.6	4	4
saxo	59	2.6	2	11
segalari	59	2.6	4	6
selekzioen	59	2.6	5	7
semantikoa	59	2.6	5	5
sexuen	59	2.6	3	4
sirenak	59	2.6	3	7
soslai	59	2.6	2	2
sozialetan	59	2.6	5	2
suaz	59	2.6	2	10
tabu	59	2.6	2	7
taularatu	59	2.6	4	3
taxuzko	59	2.6	3	4
tenplura	59	2.6	3	1
tentatzen	59	2.6	3	6
trabaturik	59	2.6	4	4
tresnekin	59	2.6	3	1
tropelaren	59	2.6	4	0
tropeleko	59	2.6	4	1
ttantta	59	2.6	2	8
ttipietan	59	2.6	4	5
tupust	59	2.6	2	0
txalupan	59	2.6	3	4
txartelik	59	2.6	3	3
txertoak	59	2.6	3	4
txirrinak	59	2.6	3	8
umearekin	59	2.6	5	8
untxiak	59	2.6	3	3
uretako	59	2.6	4	11
ustiatzeko	59	2.6	5	0
xarmagarri	59	2.6	4	3
xerlo	59	2.6	2	3
xuabe	59	2.6	3	3
zaildua	59	2.6	3	8
zalapartak	59	2.6	4	5
zangoetan	59	2.6	4	6
zanpantzar	59	2.6	3	0
zegokiola	59	2.6	5	3
zeharbidez	59	2.6	4	2
zehaztuz	59	2.6	3	3
zenukeela	59	2.6	5	3
